Id,Type
1,abuse
2,accuse
3,accuser
4,adversary
5,assault
6,alarm
7,alert
8,alias
9,allegation
10,ammunition
11,appeal
12,arm
13,arraignment
14,arrest
15,arson
16,art forgery
17,assailant
18,assault
19,attack
20,autopsy
21,bail
22,ballistics
23,beat
24,behind bar
25,belligerence
26,blackmail
27,bloodstain
28,bomb
29,brawl
30,breach
31,bribery
32,brutality
33,burglary
34,bystander
35,chase
36,cheat
37,claim
38,coercion
39,collusion
40,combat
41,complaint
42,conduct
43,confession
44,conspiracy
45,contempt
46,controversial
47,cop
48,coroner
49,corruption
50,counterfeit
51,court
52,credit theft
53,crime
54,criminal
55,criminal justice system
56,criminology
57,cuff
58,custody
59,damage
60,danger
61,dangerous
62,dark side
63,deadly
64,death
65,deed
66,defendant
67,delinquency
68,denial
69,detain
70,detection
71,detective
72,disobedience
73,disregard
74,disruption
75,drug
76,embezzle
77,emergency
78,escape
79,evasive
80,evidence
81,evil
82,execute
83,exonerate
84,explosive
85,extort
86,fatality
87,fault
88,fbi
89,felony
90,ferocity
91,fight
92,fingerprint
93,firebomb
94,first-degree
95,flee
96,forbid
97,forensics
98,forgery
99,formal charge
100,frantic
101,fraud
102,furtive
103,gory
104,grief
105,grievance
106,guilty
107,gun
108,gunrunning
109,handcuff
110,harassment
111,harm
112,harmful
113,heinous
114,high-powered rifle
115,hijack
116,holster
117,homicide
118,hostage
119,illegal
120,immoral
121,impeach
122,imprison
123,indictment
124,inquest
125,integrity
126,interference
127,interpol
128,interrogate
129,intervention
130,intruder
131,invasive
132,investigate
133,investigation
134,irresponsible
135,issue
136,jail
137,judge
138,judgment
139,judiciary
140,jury
141,justice
142,juvenile
143,kidnap
144,kill
145,killer
146,larceny
147,law
148,law-abiding
149,lawfully
150,lawsuit
151,leak
152,lease
153,legal
154,lethal
155,lie detector
156,lowlife
157,lynch
158,malice
159,malpractice
160,manacle
161,manslaughter
162,mayhem
163,minor
164,minority
165,miscreant
166,misdemeanor
167,money launder
168,murder
169,murderer
170,nine-one-one
171,nuisance
172,offender
173,offense
174,open case
175,patrol
176,peep tom
177,penalize
178,penalty
179,perjury
180,perpetrator
181,petition
182,petty theft
183,phony
184,plea
185,plead
186,police
187,precedent
188,precinct
189,prison
190,probation
191,probation officer
192,prosecute
193,prosecutor
194,prostitution
195,punishment
196,quarrel
197,quell
198,raid
199,rap sheet
200,rape
201,reckless endangerment
202,refute
203,reprobate
204,restrain order
205,revenge
206,riot
207,robbery
208,rogue
209,sabotage
210,search and rescue team
211,seize
212,seizure
213,sergeant
214,serial killer
215,sex crime
216,sheriff
217,shoot
218,shyster
219,slander
220,slash
221,slay
222,smuggle
223,speculation
224,spy
225,stab
226,summon
227,supervise
228,suppress
229,surveillance
230,survivor
231,suspect
232,suspicion
233,suspicious
234,task force
235,terrorism
236,testify
237,testimony
238,theft
239,threaten
240,three-strikes law
241,thwart
242,tire-slashing
243,torture
244,tragedy
245,trauma
246,trespass
247,trial
248,unauthorized
249,unclaimed
250,unconstitutional
251,undercover
252,underpay
253,unjust
254,unlawful
255,vagrancy
256,vandalism
257,victim
258,victimize
259,violate
260,violation
261,violence
262,voyeurism
263,vulnerable
264,warn
265,warrant
266,weapon
267,wiretap
