Id,State,Lat,Lng
1,andaman and nicobar islands,11.7400867,92.6586401
2,andhra pradesh,15.9128998,79.7399875
3,arunachal pradesh,28.2179994,94.7277528
4,assam,26.2006043,92.9375739
5,bihar,25.0960742,85.3131194
6,chandigarh,30.7333148,76.7794179
7,chhattisgarh,21.2786567,81.8661442
8,dadra and nagar haveli,20.1808672,73.0169135
9,daman and diu,20.428283,72.8397317
10,goa,15.2993265,74.123996
11,gujarat,22.258652,71.1923805
12,haryana,29.0587757,76.085601
13,himachal pradesh,31.8360855,77.169855
14,jammu and kashmir,33.778175,76.5761714
15,jharkhand,23.6101808,85.2799354
16,karnataka,15.3172775,75.7138884
17,kerala,10.8505159,76.2710833
18,lakshadweep,10.0760115,73.6303446
19,madhya pradesh,22.9734229,78.6568942
20,maharashtra,19.7514798,75.7138884
21,manipur,24.6637173,93.9062688
22,meghalaya,25.4670308,91.366216
23,mizoram,23.164543,92.9375739
24,nagaland,26.1584354,94.5624426
25,delhi,28.7040592,77.1024902
26,odisha,20.9516658,85.0985236
27,puducherry,11.9138598,79.8144722
28,punjab,31.1471305,75.3412179
29,rajasthan,27.0238036,74.2179326
30,sikkim,27.5329718,88.5122178
31,tamil nadu,11.1271225,78.6568942
32,telangana,18.1124372,79.0192997
33,tripura,23.9408482,91.9881527
34,uttar pradesh,27.5705886,80.0981869
35,uttarakhand,30.066753,79.0192997
36,west bengal,22.9867569,87.8549755
